OAID,AUTH,FORENAME,INITIALS,ORCID,SCOPUSID,WSCC_RESID,AUTH_COMMT,AUTH_URL,URL_DATE
OAID-001561,Henshilwood,Christopher S.,C. S.,0000-0002-2818-293X,6603544431,K-3806-2014,,,
OAID-001562,Mackay,Alex,A.,0000-0002-6396-0821,35942229400,F-1811-2014,,,
OAID-001563,Brown,Kyle S.,K. S.,,40360954500,,,,
OAID-001564,Marean,Curtis,C.,0000-0002-2670-5733,,,,,
OAID-001565,Stuiver,Minze,M.,,7007003882,,,,
OAID-001566,Reimer,Paula J.,P. J.,,7103071876,,,,
OAID-001567,McCormac,F. Gerry,F. G.,,6701457999,,,,
OAID-001568,Fairbanks,Richard G.,R. G.,,7005858482,,,,
OAID-001569,Weninger,Bernhard,B.,0000-0003-2390-6529,6506020574,,,,
OAID-001570,Hughen,Konrad A.,K. A.,,6701562711,,,,
OAID-001571,Blaauw,Maarten,M.,0000-0002-5680-1515,7006488289,,,,
OAID-001572,Haslett,John,J.,,7006164035,,,,
OAID-001573,Bronk Ramsey,Christopher,C.,0000-0002-8641-9309,,A-3277-2012,,,
OAID-001574,Reimer,Ron W.,R. W.,,8678145000,,,,
OAID-001575,van der Plicht,Johannes,J.,0000-0003-4298-7037,22973650100,,ORCID unconfirmed,,
OAID-001576,Buck,Caitlin Elisabeth,C. E.,0000-0002-0872-9504,7102927862,,,,
OAID-001577,Heaton,Timothy L.,T. J.,0000-0002-9994-142X,,AFJ-8295-2022,,,
OAID-001578,Aquino-López,Marco A.,M. A.,0000-0002-5076-7205,57202361070,,,,
OAID-001579,Ackerer,Julien,J.,0000-0001-6318-0326,,,,,
OAID-001580,Mohadjer,Solmaz,S.,0000-0003-0728-3720,,,,,
OAID-001581,Ben-Israel,Michal,M.,0000-0002-3676-3750,,,,,
OAID-001582,Bufe,Aaron,A.,0000-0002-8551-7265,,,,,
OAID-001583,Desormeaux,Clément,C.,0000-0002-6852-0171,,,,,
OAID-001584,Villaça Gomes,Maria Carolina,M. C.,0000-0002-7892-0240,,,,,
OAID-001585,Jensen,Chantel,C.,,,,,,
OAID-001586,Leonard,Joel S.,J. S.,0000-0002-5831-6767,57214911971,,,,
OAID-001587,Lin,Lingling,L.,,,,,,
OAID-001588,Mishra,Ashish Kumar,A. K.,,,,,,
OAID-001589,Ohta,Ryoga,R.,0000-0001-6429-3904,,,,,
OAID-001590,Schide,Katherine H.,K. H.,0000-0001-7289-3854,,,,,
OAID-001591,Slosson,John R.,J. R.,0000-0001-9643-4046,,,,,
OAID-001592,Stokes,Maya F.,M. F.,0000-0001-8282-0819,,,,,
OAID-001593,Tian,Qingying,Q.,,,,,,
OAID-001594,Jautzy,Timothée,T.,0000-0001-8021-6001,,,,,
OAID-001595,Zawacki,Emily Elizabeth,E. E.,0000-0002-5707-1606,,,,,
OAID-001596,Zerathe,Swann,S.,0000-0002-4020-5823,36351387400,,,,
OAID-001597,Aronson,Holden D.,H. D.,,,,,,
OAID-001598,Brosens,Liesa,L.,0000-0002-6350-8018,,,,,
OAID-001599,Clementucci,Romano,R.,0000-0003-2332-5812,,,,,
OAID-001600,Kudriavtseva,Anna,A.,0000-0002-8710-9919,,,,,
OAID-001601,Racano,Simone,S.,0000-0002-9259-0225,57202457676,,,,
OAID-001602,Aitken,D. L.,D. L.,,,,,,
OAID-001603,Anker,Sharon A.,S. A.,,,,,,
OAID-001604,Bickford,Sophia,S.,,6603965621,,,,
OAID-001605,Black,Manu P.,M. P.,,15046363100,,,,
OAID-001606,Boyd,W. E.,W. E.,0000-0002-8466-4669,7102813170,,,,
OAID-001607,Buckman,Solomon,S.,0000-0001-5314-1331,35106685700,J-6685-2015,,,
OAID-001608,Builth,Heather,H.,,8582618000,,,,
OAID-001609,Burrows,Mark A.,M. A.,,56448278200,,,,
OAID-001610,Cadd,Haidee R.,H. R.,0000-0001-5770-3557,56910312600,,,,
OAID-001611,Chalson,Jane M.,J. M.,,6505614152,,,,
OAID-001612,Chang,Jie,J.,,,,,,
OAID-001613,Constantine,Mark,M.,0000-0003-0447-4492,56890934900,,,,
OAID-001614,De Deckker,Patrick,P.,,7004696761,,,,
OAID-001615,Devoy,Robert J. N.,R. J. N.,,6603544187,,,,
OAID-001616,Edney,P. A.,P. A.,,6506524401,,,,
OAID-001617,Ellison,Joanna C.,J. C.,0000-0003-0692-8347,7102243595,,,,
OAID-001618,Mooney,Scott D.,S. D.,0000-0003-4449-5060,7005304304,,,,
OAID-001619,Genever,Matt,M.,,,,,,
OAID-001620,Graves,Bradley,B.,,57211476193,,,,
OAID-001621,Hanson,Johanna M.,J. M.,0000-0001-8204-862X,,,,,
OAID-001622,Jenkins,M. A.,M. A.,,,,,,
OAID-001623,Jones,Penelope,P.,0000-0002-4880-6711,,,,,
OAID-001624,Jones,Robert Lancelot,R. L.,,57203513502,,,,
OAID-001625,Keaney,B.,B.,,,,,,
OAID-001626,Kodela,Phillip Gerhard,P. G.,,,,,,
OAID-001627,Laming,Alice,A.,,,,,,
OAID-001628,Leahy,Paul J.,P. J.,,8317742800,,,,
OAID-001629,Lobb,Jamie,J.,,,,,,
OAID-001630,Löffler,Ernst,E.,,7003767704,,,,
OAID-001631,Lynch,A. Jasmyn J.,A. J. J.,0000-0001-7611-0677,7102636870,,,,
OAID-001632,Marx,Samuel K.,S. K.,0000-0003-2333-5260,9239319200,,,,
OAID-001633,Matley,Kia A.,K. A.,0000-0003-1217-4211,,,,,
OAID-001634,McGowan,Hamish,H.,0000-0002-2844-2084,,,,,
OAID-001635,McKenzie,G. Merna,G. M.,,7004966336,,,,
OAID-001636,Moravek,Silvie,S.,,,,,,
OAID-001637,Nelson,David M.,D. M.,,10539258600,,,,
OAID-001638,O'Donnell,Shawn,S.,0000-0003-0731-7425,,,,,
OAID-001639,Peterson,James A.,J. A.,,7403426241,,,,
OAID-001640,Prosser,Ian,I.,0000-0001-7252-1540,7003842498,,,,
OAID-001641,Horrocks,Mark,M.,,56187713600,,,,
OAID-001642,Newnham,Rewi,R.,0000-0002-6044-8945,7101910322,,,,
OAID-001643,Wilmshurst,Janet,J.,0000-0002-4474-8569,7004359599,C-2209-2009,,,
OAID-001644,Anderson,William,W.,,,,,,
OAID-001645,Elliot,Michael B.,M. B.,,57204673877,,,,
OAID-001646,Enright,Neal J.,N. J.,0000-0003-2979-4505,56052880800,,,,
OAID-001647,Filihia,Meredith,M.,,26038113800,,,,
OAID-001648,Haenfling,Carolin,C.,,57193224797,,,,
OAID-001649,Hajdas,Irka,I.,0000-0003-2373-2725,57203030970,C-6696-2011,,,
OAID-001650,Hazell,Zoe,Z.,0000-0001-5883-5076,,,,,
OAID-001651,Jara,Ignacio A.,I. A.,0000-0002-6682-8092,,,,,
OAID-001652,Kurpiel,Rebekah,R.,0000-0002-3134-408X,,,,,
OAID-001653,Lawler,Martin,M.,,,,,,
OAID-001654,Li,Xun,X.,,27171773900,,,,
OAID-001655,Nichol,Scott,S.,,,,,,
OAID-001656,Ogden,John,J.,,7201724751,,,,
OAID-001657,Pugh,Jeremy,J.,,,,,,
OAID-001658,Raven,Mathew Alexander,M. A.,,,,,,
OAID-001659,Rees,Andrew B. H.,A. B. H.,0000-0003-4026-7765,12780072600,Q-1417-2017,,,
OAID-001660,Rogers,Geoffrey M.,G.,,7202950269,,,,
OAID-001661,Romanin,Louise M.,L. M.,0000-0003-1824-4516,56724139700,,,,
OAID-001662,Romano,Anthony,A.,0000-0002-1390-4311,,,,,
OAID-001663,Rose,Robert Angus,R. A.,,,,,,
OAID-001664,Woodward,Craig,C.,0000-0001-7521-7413,15770426500,,,,
OAID-001665,Wright-Neville,Caroline,C.,,,,,,
OAID-001666,Wurster,Christopher M.,C. M.,0000-0002-2866-5798,7006012987,,,,
OAID-001667,Wilson,Hannah,H.,,,,,,
OAID-001668,Wood,Jamie R.,J. R.,0000-0001-8008-6083,7404354089,,,,
OAID-001669,Williams,Nicola Jane,N. J.,,,,,,
OAID-001670,Watson,Ben,B.,,,,,,
OAID-001671,Vandergoes,Marcus J.,M. J.,0000-0001-7417-7747,,,,,
OAID-001672,Thomas,David,D.,,,,,,
OAID-001673,Thomas,Marie L.,M. L.,,,,,,
OAID-001674,Thomas,Zoë,Z.,0000-0002-2323-4366,54416505600,D-1656-2016,,,
OAID-001675,Tibby,John,J.,0000-0002-5897-2932,57222484166,,,,
OAID-001676,Trodahl,Martha Ingrid,M. I.,,,,,,
OAID-001677,van der Geer,G.,G.,,,,,,
OAID-001678,Singh,G.,G.,,,,,,
OAID-001679,Lopes dos Santos,Raquel A.,R. A.,,36617887600,,,,
OAID-001680,Shi,Ge,G.,,,,,,
OAID-001681,Burrows,J. C.,J. C.,,7202089046,,,,
OAID-001682,Bussell,M. Royd,M. R.,,7006043776,,,,
OAID-001683,Chester,Pamela,P.,,12140192300,,,,
OAID-001684,Clarkson,Bruce D.,B. D.,,7101800061,,,,
OAID-001685,Cowan,Hugh A.,H. A.,,7003883325,,,,
OAID-001686,Davidson,G. D.,G. D.,,,,,,
OAID-001687,de Montford,M.,M.,,,,,,
OAID-001688,Duckmanton,N. M.,N. M.,,,,,,
OAID-001689,Falster,Georgina,G.,0000-0001-8567-7413,56897150100,,,,
OAID-001690,Horn,D.,D.,,,,,,
OAID-001691,Johnson,Adrian G.,A. G.,,,,,,
OAID-001692,Kenyon,C. E.,C. E.,,,,,,
OAID-001693,Mason,S.,S.,,,,,,
OAID-001694,Pittock,J.,J.,,,,,,
OAID-001695,Radclyffe,E.,E.,,,,,,
OAID-001696,Robbie,Anthony,A.,,,,,,
OAID-001697,Robertson,M.,M.,,,,,,
OAID-001698,Rogers,J.,J.,,,,,,
OAID-001699,Smeulders,D. M.,D. M.,,,,,,
OAID-001700,Williams,Martin A. J.,M. A. J.,,57203332668,,,,
OAID-001701,Disspain,Morgan,M.,0000-0002-5668-3344,37118804200,,,,
OAID-001702,Gollan,John Klimenti,J. K.,,,,,,
OAID-001703,Johnson,Ian,I.,0000-0003-3582-2138,,,,,
OAID-001704,Koungoulos,Loukas George,L. G.,0000-0002-5148-0142,,,,,
OAID-001705,Leslie,D. M.,D. M.,,,,,,
OAID-001706,Maisie,Maame,M.,,,,,,
OAID-001707,Quinn,Molly,M.,,58199629700,,,,
OAID-001708,Roe,Jessica,J.,,,,,,
OAID-001709,Tennant,Giles,G.,,,,,,
OAID-001710,Watson,Emma,E.,,,,,,
OAID-001711,Weij,Rieneke,R.,,57218378419,,,,
OAID-001712,Atkins,Rachel,R.,0000-0003-0953-3420,57219964681,,,,
